# This file was written from pixieBinParser2.py and was
# parsed from Proximity_scan_120814_0042.bin. The file has been reformatted.
# It was written on May 18, 2015


# pixieBinParser2.py was written by Anders Priest.


Time		E0	E1	E2	E3	E4	E5	E6	E7	

943995755908	641.0	358.0	142.0	36.0	2327.0	432.0	120.0	49.0	
943996645204	54.0	94.0	253.0	1002.0	37.0	30.0	42.0	24.0	
943996940537	26.0	38.0	166.0	760.0	211.0	42.0	11.0	39.0	
943997017888	3.0	-12.0	-29.0	-16.0	21.0	-20.0	4.0	-5.0	
944000498830	59.0	52.0	36.0	41.0	272.0	836.0	4143.0	2753.0	
944000590484	7.0	19.0	15.0	15.0	99.0	1014.0	108.0	49.0	
944000898717	-1.0	1.0	-10.0	-1.0	13.0	103.0	581.0	345.0	
944001940708	16.0	-10.0	2.0	30.0	115.0	444.0	3186.0	629.0	
944001951756	-38.0	67.0	164.0	775.0	26.0	-2.0	23.0	7.0	
944002171380	16.0	-10.0	-5.0	-8.0	465.0	203.0	96.0	73.0	
944002228887	2195.0	365.0	149.0	47.0	279.0	236.0	33.0	-6.0	
944002702744	45.0	28.0	-2.0	33.0	123.0	19.0	-3.0	-22.0	
944002720249	16.0	22.0	-14.0	-6.0	28.0	88.0	415.0	754.0	
944003457003	-2.0	21.0	37.0	55.0	-20.0	23.0	88.0	742.0	
944003643488	-26.0	-4.0	-21.0	-52.0	225.0	1172.0	514.0	139.0	
944004017153	4.0	14.0	123.0	888.0	451.0	1493.0	5689.0	21945.0	
944005781139	1156.0	250.0	62.0	10.0	39.0	32.0	8.0	6.0	
944008930081	-24.0	16.0	25.0	-8.0	1083.0	102.0	47.0	41.0	
944009192954	21.0	-25.0	-4.0	3.0	18.0	4.0	22.0	18.0	
944009875899	-52.0	-9.0	30.0	-23.0	25.0	-23.0	7.0	-13.0	
944010329014	78.0	209.0	726.0	731.0	639.0	2560.0	381.0	80.0	
944012067296	-62.0	-30.0	25.0	-38.0	223.0	718.0	5204.0	944.0	
944013252123	76.0	49.0	30.0	22.0	575.0	164.0	45.0	18.0	
944015528776	1.0	4.0	33.0	16.0	5074.0	10737.0	2074.0	649.0	
944016139928	47.0	6.0	61.0	219.0	6.0	-31.0	-5.0	10.0	
944017037059	33.0	-5.0	12.0	22.0	291.0	69.0	8.0	-3.0	
944017407548	97.0	538.0	1418.0	253.0	-221.0	-225.0	123.0	1052.0	
944018538282	724.0	1474.0	323.0	101.0	139.0	-219.0	26.0	19.0	
944020345581	38.0	240.0	471.0	109.0	472.0	772.0	141.0	7.0	
944021050806	1068.0	274.0	109.0	60.0	161.0	998.0	156.0	92.0	
944021390677	6.0	-5.0	-2.0	7.0	475.0	3179.0	441.0	89.0	
944021853246	1.0	16.0	5.0	0.0	2367.0	349.0	100.0	3.0	
944024576546	-21.0	3.0	22.0	0.0	75.0	925.0	87.0	11.0	
944024623753	-26.0	23.0	-1.0	11.0	51.0	21.0	14.0	15.0	
944024733652	2295.0	3624.0	1855.0	1609.0	5224.0	1222.0	361.0	75.0	
944026542390	241.0	89.0	34.0	7.0	628.0	990.0	226.0	60.0	
944027705327	573.0	1125.0	274.0	258.0	390.0	118.0	23.0	14.0	
944028210193	-24.0	29.0	63.0	873.0	9.0	81.0	194.0	1102.0	
944028985826	164.0	136.0	149.0	-166.0	160.0	23.0	14.0	-12.0	
944030472813	8.0	24.0	3.0	-213.0	1902.0	314.0	87.0	42.0	
944032006128	-8.0	-7.0	-30.0	-205.0	74.0	206.0	355.0	83.0	
944032120452	30.0	56.0	111.0	902.0	179.0	56.0	44.0	11.0	
944032983282	24.0	6.0	17.0	158.0	19.0	12.0	-6.0	-22.0	
944037143016	-12.0	-46.0	-32.0	-24.0	7325.0	1005.0	303.0	133.0	
944038746457	1.0	-33.0	-19.0	-29.0	281.0	1685.0	251.0	84.0	
944038921361	1627.0	331.0	139.0	53.0	161.0	79.0	16025.0	5272.0	
944039280938	69.0	50.0	51.0	62.0	21.0	89.0	262.0	1485.0	
944039454460	-27.0	36.0	94.0	864.0	33.0	34.0	20.0	23.0	
944039857104	34.0	15.0	26.0	35.0	43.0	10.0	-6.0	36.0	
944040484127	16.0	24.0	60.0	31.0	81.0	377.0	896.0	168.0	
944040774259	103.0	391.0	2231.0	298.0	3.0	-7.0	1.0	18.0	
944042022391	901.0	681.0	148.0	56.0	96.0	29.0	-6.0	21.0	
944042081949	23.0	19.0	29.0	-8.0	-14.0	2.0	19.0	-25.0	
944042544937	-31.0	-18.0	8.0	-34.0	807.0	154.0	66.0	23.0	
944042871896	268.0	1059.0	164.0	47.0	44.0	189.0	1263.0	233.0	
944042966029	-35.0	-7.0	14.0	-1.0	204.0	60.0	5.0	-24.0	
944043346195	-6.0	20.0	46.0	6.0	2763.0	693.0	166.0	88.0	
944043442480	257.0	320.0	70.0	35.0	40.0	84.0	237.0	555.0	
944043813023	-8.0	-36.0	-43.0	-19.0	2152.0	284.0	94.0	29.0	
944044458450	-2.0	6.0	-8.0	-16.0	2775.0	654.0	188.0	112.0	
944045346455	21.0	-23.0	-16.0	3.0	-9.0	-20.0	-11.0	-38.0	
944045489268	120.0	340.0	1377.0	2880.0	97.0	28.0	4.0	-6.0	
944046080465	108.0	213.0	449.0	1329.0	95.0	143.0	352.0	92.0	
944046175178	360.0	124.0	-19.0	66.0	76.0	195.0	564.0	2976.0	
944047147788	220.0	931.0	6930.0	962.0	-19.0	0.0	-33.0	-48.0	
944049543902	7.0	17.0	91.0	881.0	312.0	234.0	217.0	173.0	
944051064632	10.0	21.0	16.0	18.0	19.0	49.0	159.0	685.0	
944051131857	50.0	88.0	132.0	924.0	1687.0	1188.0	361.0	190.0	
944052069211	11.0	0.0	19.0	-7.0	31.0	31.0	43.0	32.0	
944055718800	27.0	12.0	3.0	-29.0	31.0	10.0	56.0	206.0	
944055897026	9895.0	1711.0	524.0	154.0	13825.0	2484.0	676.0	238.0	
944056086102	31.0	37.0	120.0	901.0	1053.0	796.0	220.0	120.0	
944057874633	43.0	4.0	-16.0	30.0	43.0	137.0	537.0	640.0	
944058408431	22.0	29.0	43.0	137.0	333.0	2430.0	312.0	55.0	
944059203239	1.0	11.0	80.0	855.0	50.0	130.0	791.0	370.0	
944059852012	-7.0	39.0	-204.0	275.0	620.0	479.0	440.0	27.0	
944062117209	20.0	-25.0	-219.0	8.0	201.0	2206.0	130.0	59.0	
944063008085	202.0	558.0	1985.0	6675.0	4024.0	1720.0	881.0	507.0	
944066222514	824.0	2754.0	787.0	191.0	130.0	3.0	-53.0	-30.0	
944066551115	-42.0	0.0	-27.0	-17.0	16.0	30.0	30.0	127.0	
944066758510	35.0	25.0	0.0	6.0	388.0	821.0	154.0	28.0	
944067421522	14.0	56.0	89.0	152.0	564.0	135.0	58.0	5.0	
944068015265	217.0	693.0	4075.0	1508.0	-19.0	-4.0	14.0	-12.0	
944070042677	128.0	306.0	1164.0	220.0	15.0	16.0	13.0	207.0	
944070222145	-3.0	-1.0	13.0	-24.0	245.0	83.0	19.0	0.0	
944070613699	-66.0	-15.0	89.0	874.0	34.0	115.0	625.0	430.0	
944071511733	-4.0	48.0	196.0	755.0	512.0	439.0	325.0	287.0	
944073130949	43.0	272.0	15.0	-8.0	29.0	160.0	685.0	98.0	
944073474304	-16.0	-18.0	-1.0	34.0	37.0	63.0	213.0	687.0	
944075060827	8.0	78.0	181.0	917.0	693.0	880.0	193.0	43.0	
944075042601	12.0	21.0	15.0	26.0	477.0	324.0	262.0	-26.0	
944075199676	36.0	18.0	32.0	6.0	1263.0	4993.0	6164.0	1382.0	
944075295674	81.0	-2.0	-21.0	-14.0	20.0	89.0	186.0	9.0	
944076887329	28.0	20.0	15.0	22.0	101.0	270.0	1728.0	351.0	
944078665830	45.0	74.0	93.0	190.0	16.0	3.0	-12.0	7.0	
944079112830	-43.0	-31.0	-8.0	-30.0	6.0	-8.0	-2.0	1.0	
944080611320	385.0	2525.0	640.0	184.0	42.0	144.0	158.0	39.0	
944081013115	776.0	175.0	42.0	29.0	4142.0	1032.0	322.0	97.0	
944081212263	61.0	84.0	167.0	955.0	134.0	511.0	834.0	209.0	
944081464611	29.0	14.0	101.0	866.0	296.0	87.0	67.0	34.0	
944081708204	17.0	-6.0	91.0	847.0	37.0	2.0	24.0	31.0	
944081853956	28.0	4.0	7.0	-1.0	1117.0	195.0	64.0	38.0	
944082353500	13.0	37.0	7.0	4.0	2553.0	822.0	265.0	121.0	
944082762075	116.0	110.0	75.0	92.0	364.0	141.0	22.0	6.0	
944085983143	66.0	171.0	342.0	1094.0	186.0	65.0	9.0	40.0	
944086124757	17.0	17.0	112.0	905.0	31.0	153.0	1002.0	213.0	
944087459584	57.0	353.0	5232.0	348.0	-16.0	-41.0	-60.0	14.0	
944088130393	18.0	-9.0	23.0	3.0	53.0	45.0	30.0	23.0	
944089337592	4.0	26.0	14.0	14.0	5.0	-15.0	-5.0	-4.0	
944090456155	20.0	34.0	123.0	844.0	12.0	-4.0	-7.0	9.0	
944091538150	4196.0	9951.0	29408.0	-189.0	72.0	103.0	106.0	384.0	
944092087522	284.0	101.0	-12.0	-6.0	198.0	154.0	153.0	115.0	
944092995742	59.0	37.0	11.0	66.0	200.0	64.0	49.0	15.0	
944094145650	31.0	183.0	212.0	35.0	59.0	96.0	124.0	202.0	
944094223265	72.0	454.0	198.0	53.0	57.0	87.0	281.0	1047.0	
944094995938	13.0	51.0	29.0	61.0	-29.0	-3.0	-23.0	-12.0	
944095052871	-12.0	8.0	100.0	864.0	146.0	39.0	7.0	-14.0	
944095950474	95.0	39.0	106.0	904.0	172.0	87.0	20.0	6.0	
944096229670	-24.0	-33.0	-15.0	1.0	91.0	8.0	17.0	-7.0	
944096618472	0.0	51.0	116.0	904.0	3.0	-9.0	-23.0	-14.0	
944098477105	-39.0	-15.0	-35.0	-15.0	2299.0	535.0	158.0	81.0	
944100803337	23.0	-11.0	-13.0	3.0	95.0	19.0	34.0	12.0	
944101120833	24.0	-19.0	-7.0	-21.0	323.0	532.0	146.0	63.0	
944101487329	-4.0	22.0	24.0	-4.0	52.0	154.0	727.0	273.0	
944102887326	27.0	39.0	27.0	12.0	1049.0	3682.0	15931.0	2500.0	
944103191059	-22.0	-17.0	12.0	6.0	186.0	1389.0	309.0	98.0	
944103357802	28.0	-3.0	9.0	15.0	-195.0	371.0	1769.0	243.0	
944104018942	143.0	920.0	210.0	90.0	309.0	80.0	13.0	28.0	
944104396198	18.0	26.0	87.0	871.0	85.0	398.0	192.0	61.0	
944106383570	268.0	1923.0	570.0	143.0	18.0	125.0	858.0	114.0	
944106971305	12.0	-15.0	8.0	40.0	142.0	43.0	41.0	19.0	
944107249271	15.0	49.0	228.0	643.0	13.0	69.0	95.0	420.0	
944107617289	36.0	58.0	145.0	614.0	-8.0	15.0	6.0	-3.0	
944108540975	-20.0	-11.0	-8.0	-20.0	220.0	651.0	2816.0	2401.0	
944109090085	99.0	593.0	340.0	65.0	260.0	95.0	-7.0	-7.0	
944111799849	35.0	248.0	1435.0	985.0	621.0	180.0	68.0	18.0	
944111905874	0.0	38.0	10.0	-8.0	51.0	73.0	153.0	485.0	
944114616678	36.0	20.0	15.0	10.0	-27.0	-20.0	-3.0	-12.0	
944116213368	17.0	-3.0	21.0	13.0	982.0	2042.0	367.0	72.0	
944117224081	31.0	32.0	-33.0	-38.0	64.0	-7.0	-71.0	-41.0	
944118731650	17.0	54.0	121.0	398.0	5408.0	6308.0	9169.0	-28216.0	
944119462618	4.0	0.0	21.0	14.0	55.0	185.0	557.0	86.0	
944122902068	26.0	26.0	-22.0	-30.0	34.0	89.0	463.0	209.0	
944128037002	84.0	142.0	613.0	274.0	123.0	485.0	567.0	128.0	
944128458310	2.0	-4.0	36.0	17.0	146.0	25.0	12.0	1.0	
944128964976	39.0	1.0	55.0	45.0	-17.0	10.0	36.0	4.0	
944129250157	16.0	43.0	102.0	367.0	326.0	1937.0	509.0	119.0	
944129347478	2.0	1580.0	748.0	176.0	93.0	26.0	-21.0	-12.0	
944129524404	83.0	68.0	252.0	584.0	-7.0	-14.0	-12.0	0.0	
944129652334	-5.0	6.0	-14.0	0.0	31.0	40.0	122.0	698.0	
944131298195	-10.0	31.0	12.0	3.0	52.0	23.0	24.0	28.0	
944131380281	244.0	608.0	2231.0	13227.0	413.0	145.0	82.0	17.0	
944134573753	-30.0	-63.0	-10.0	-2.0	114.0	24.0	21.0	9.0	
944136019554	21.0	25.0	125.0	889.0	7886.0	1745.0	548.0	169.0	
